Unnamed: 0,id,title,username,participants,datestamp,checked
,1734296280,Беларускі Гаюн,Hajun_BY,490242,2022-07-23 20:27:39.846980,True
,1404319831,Кабинет представителей Светланы Тихановской,CabinetST,2774,2022-07-23 20:27:41.028298,True
,1112572951,МотолькоПомоги,motolkohelp,120445,2022-07-23 20:27:41.247298,True
,1042145898,Наша Ніва,nashaniva,54294,2022-07-23 20:27:41.463186,True
,1205157432,No Context Belarus,BelarusNo,2023,2022-07-23 20:27:42.291862,True
,1278580974,BYPOL,By_Pol,35337,2022-07-23 20:27:42.511751,True
,1216660068,YouTube Беларусi,youtube_by,4782,2022-07-23 20:27:42.730080,True
,1263483402,Советская Белоруссия,sovbelarussia,15346,2022-07-23 20:27:42.941814,True
,1383635801,Харитонов 🇺🇦,kharytonau,11103,2022-07-23 20:27:43.167499,True
,1221730953,Live. Сообщество железнодорожников Беларуси,belzhd_live,6729,2022-07-23 20:27:44.034530,True
,1424651731,Lebiadok,lebiadok,10178,2022-07-23 20:27:45.982322,True
,1359932400,Полк Каліноўскага,belwarriors,42391,2022-07-23 20:27:46.780603,True
,1337754603,Светлана Тихановская,tsikhanouskaya,63579,2022-07-23 20:27:46.991101,True
,1476423527,Флагшток — Гомельшчына,flagshtok,9574,2022-07-23 20:27:47.238659,True
,1220565800,Беларусь за МКАДом,zamkadomby,21755,2022-07-23 20:27:47.460400,True
,1380839977,Навоша,navosha,6727,2022-07-23 20:27:47.677360,True
,1070474272,Белсат,belsat,48705,2022-07-23 20:27:48.326220,True
,1347276736,"""Вясна"" назірае",viasnanazirae,1108,2022-07-23 20:27:48.550952,True
,1104321707,Кулуары KYKY,kyky_org,36345,2022-07-23 20:27:49.386607,True
,1146075551,InformNapalm,informnapalm,136440,2022-07-23 20:27:50.317503,True
,1365363954,Научно-Технический·LAB-66·Лабораторный журнал беларуского химика,lab66,17287,2022-07-23 20:27:51.535469,True
,1068954099,Чай з малинавым варэннем,belteanews,87222,2022-07-23 20:27:52.490771,True
,1046805118,Вясна / Правы чалавека ў Беларусі,viasna96,12933,2022-07-23 20:27:53.273000,True
,1068050608,Беларусь головного мозга,belamova,142199,2022-07-23 20:27:53.505061,True
,1305764324,Еўрарадыё | Еврорадио,euroradio,21594,2022-07-23 20:27:55.404776,True
,1078868616,Зеркало | Новости,zerkalo_io,387947,2022-07-23 20:27:57.332898,True
,1663460417,StopRussiaChannel | MRIYA,stoprussiachannel,209043,2022-07-23 20:27:58.331061,True
,1756771072,Галасы Беларусі,halasy_belarusi,168,2022-07-23 20:28:01.304257,True
,1212499367,Каманда БНР100,bnr100by,153,2022-07-23 20:28:01.522105,True
,1795581384,Вот так дела,vottakd,3611,2022-07-23 20:28:10.413570,True
,1187465735,Канал Петра Кузнецова. Такие дела,peter_kuznetsoff,12601,2022-07-23 20:28:11.130258,True
,1238172624,Белорусский порядок,paradachak,12989,2022-07-23 20:28:12.943814,True
